Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Conceptual Framework Introducing the Success Factors for Implementing Intelligent Automation-A Qualitative Multiple Case Study,2024,2,0,0,False,False,2
Engines supporting the subject-oriented paradigm,2015,2,0,0,False,False,2
Model While You Work: Towards Effective and Playful Acquisition of Stakeholder Processes,2016,2,0,0,False,False,2
Enhancing process compliance in complex product developments: insights from an international manufacturer,2015,4,0,0,False,False,4
BPMN Model Interchange: The Quest for Interoperability,2016,1,0,0,False,False,1
Using BPM Technology to Deploy and Manage Distributed Analytics in Collaborative IoT-Driven Business Scenarios,2019,4,2,0,False,False,6
Lean Service and BPM to Increase the Efficiency of an Operational Process in the Insurance Sector,2023,1,2,0,True,False,3
Comparison of the subject-oriented and the Petri net based approach for business process automation,2015,2,0,0,False,False,2
An ASM model for the procure to pay case study,2015,0,1,0,True,True,1
When process managers act as requirements engineers: a template-based proposal using workflow models to derive innovative IT requirements,2015,3,0,0,False,False,3
Abstract state machine nets: closing the gap between business process models and their implementation,2015,2,0,0,False,False,2
Tool-based checking of business process models,2015,3,1,0,False,True,4
Resource management and authorization for cloud services,2015,3,0,0,False,False,3
HINT project: a BPM teleconsultation and telemonitoring platform,2021,4,1,0,False,False,5
Articulation of subject-oriented business process models,2015,1,0,0,False,False,1
Modeling for change via component-based decomposition and ASM refinement,2015,1,1,0,False,True,2
A Framework for Quantifiable Process Improvement through Method Fragments in Situational Method Engineering,2022,3,0,1,False,False,4
Enhancing telecommunication business process representation and integration with ontologised industry standards,2009,2,0,0,False,False,2
Fundamental Framework for Task Mining Technology Adoption: Results from a Qualitative Empirical Study,2023,2,1,0,False,False,3
Cognitive Support for S-BPM User Interfaces Intertwining Modeling and Execution,2014,2,0,0,False,False,2
A BPM-based Emerald Factory Information System: Redesigning Emerald Crafting Process in Myanmar,2019,2,0,0,False,False,2
Increase of Perfect Orders through the Application of Mixed Methodologies in a Company in the Heavy Freight Transportation Sector,2023,3,0,0,False,False,3
Commercial Model to Increase Sales through Mixed Methodologies in an Automotive Retailer,2023,4,0,0,False,False,4
Process Knowledge Extraction and Knowledge Graph Construction Through Prompting: A Quantitative Analysis,2024,2,1,0,False,True,3
Integrating CEP and BPM: how CEP realizes functional requirements of BPM applications (industry article),2012,3,0,0,False,False,3
The Implementation of Robotic Process Automation for Banking Sector Case Study of A Private Bank in Indonesia,2022,3,2,0,False,True,5
Model-driven development and business process modeling applied to personal productivity in the consumer mobile app market,2015,3,1,0,False,False,4
Digital TwinCity: a holistic approach towards comparative analysis of business processes,2022,0,1,0,True,True,1
Are My Business Process Models Compliant With LGPD? The LGPD4BP Method to Evaluate and to Model LGPD aware Business Processes,2021,1,3,0,False,True,4
LS/ABPM - an agent-powered suite for goal-oriented autonomic BPM,2008,3,0,0,False,False,3
Process Management in the Greek Public Sector: A case study in the Municipality of Kalamaria,2017,5,0,0,False,False,5
Combining social web and BPM for improving enterprise performances: the BPM4People approach to social BPM,2012,2,1,0,False,True,3
Improving the Business Processes Management from the Knowledge Management,2016,1,2,0,True,False,3
IT Enabled Organizational Transformation: A Case Study in Public Sector,2018,2,0,0,False,False,2
Designing user engagement for cognitively-enhanced processes,2017,2,1,0,False,False,3
The Factors of BPM Economic Impact,2017,1,0,0,False,False,1
The estimating index and self-organizing model based on the ant colony algorithm,2022,1,1,0,False,True,2
Natural Language Processing in Business Process Identification and Modeling: A Systematic Literature Review,2018,3,2,1,True,False,6
Semantic-based enterprise attention management systems,2009,2,1,0,True,False,3
Semantic enabled complex event language for business process monitoring,2009,3,0,0,False,False,3
Unary RDF-annotated petri nets: a formalism for the modeling and validation of business processes with semantic information,2009,0,0,4,False,False,4
The business process modelling ontology,2009,2,1,0,True,False,3
Model-based domain ontology engineering,2009,1,1,0,True,False,2
Ontology design patterns for the semantic business processes,2009,0,1,0,True,True,1
Integrated Lean BPM model to increase customer loyalty in a last-mile courier,2022,3,0,0,False,False,3
Towards the ontology-based transformation of business process models,2009,1,0,0,False,False,1
Resource Management for Business Process Scheduling in the Presence of Availability Constraints,2016,3,2,0,False,False,5
Improving mobile business process monitoring with enhanced NFV MANO: a method to elicit connectivity requirements from process models,2020,4,0,0,False,False,4
"Integration of Knowledge and Task Management in an Evolving, Communication-intensive Environment",2021,2,3,0,False,False,5
Dynamic Coupling of Learning with Operational Processes,2021,1,0,0,False,False,1
I Will Survive: An Event-driven Conformance Checking Approach Over Process Streams,2023,3,0,0,False,False,3
Research on Test Data Management Platform of Heavy-duty Vehicle Manufacturing Enterprise Based on SOA and BPM,2022,0,1,0,True,True,1
Integrated BPM-TPM Maintenance Model to reduce over-time order rate in heavy-duty sector SMEs: A Research in Peru,2022,1,2,0,False,True,3
Business process regulatory compliance management solution frameworks: a comparative evaluation,2012,1,0,0,False,False,1
Collaborative process maturing support by mining activity streams,2015,2,0,0,False,False,2
Tuning Concurrency of the Business Process by Dynamic Programming,2018,2,0,0,False,False,2
Dynamic Capabilities that Facilitates the Successful Implementation of Digitalization,2021,1,0,0,False,False,1
Personalized Process and Decision Support in Emergency Care by Mining Electronic Health Records and Sensor Data,2021,1,0,0,False,False,1
SOA enabled BPM rule engine,2011,0,0,3,False,False,3
Automated analysis of industrial workflow-based models,2018,3,1,0,False,True,4
AutoEPRS-20: extracting business process redesign suggestions from natural language text,2021,2,1,0,True,False,3
Verification of Hierarchical Artifact Systems,2019,2,0,1,False,False,3
"An integrated approach for RUP, EA, SOA and BPM implementation",2011,1,1,0,False,True,2
Adaptive case management for the government policy office,2012,1,0,0,False,False,1
Process mining-enabled jurimetrics: analysis of a Brazilian court's judicial performance in the business law processing,2021,3,3,0,True,True,6
BPM/BPM+: Software-based dynamic memory partitioning mechanisms for mitigating DRAM bank-/channel-level interferences in multicore systems,2014,4,1,1,True,False,6
A framework for cost-aware process management: generation of accurate and timely management accounting cost reports,2013,0,0,3,False,False,3
Robust Drift Characterization from Event Streams of Business Processes,2020,3,0,0,False,False,3
Improve Performance Management in Flexible Business Processes,2017,0,1,0,True,True,1
"Composite, Real-time Validation for Business Process Modelling",2014,2,1,0,False,True,3
A Framework and Tool Support for Managing a Family of Business Process Variants,2021,1,0,0,False,False,1
Process Mining: Overview and Opportunities,2012,1,0,0,False,False,1
Slipstream: architecture options for real-time process analytics,2011,5,0,0,False,False,5
Engineering a state monitoring service for real-time patient flow management,2012,2,0,0,False,False,2
Achieving business agility with WebSphere ILOG JRules and WebSphere BPM,2010,1,2,0,True,True,3
DMOMVP: A Business-Process-Oriented Data Model Optimization Method Based on Database Vertical Partition,2018,2,0,1,False,False,3
Supporting user-centric business processes with WADE,2012,3,0,0,False,False,3
Optimizing Business Processes through Parallel Task Execution,2022,2,1,0,False,False,3
Distributed Compliance Monitoring of Business Processes over MapReduce Architectures,2017,1,3,0,True,True,4
Integrating sustainability into day-to-day business: a tactical management dashboard for O-LCA,2020,2,1,0,True,False,3
A methodology to support the execution of proficiency tests for software quality assessment,2024,2,1,0,False,True,3
BDI-agents for agile goal-oriented business processes,2008,1,2,1,True,False,4
Security evaluation by arrogance: saving time and money,2017,2,0,0,False,False,2
An operation framework of educational process management enhanced by information technology: take graduate financial aid management as an example,2012,1,0,2,False,False,3
Towards Aspects Identification in Business Process Through Process Mining,2015,1,2,0,True,False,3
Passage challenges from data-intensive system to knowledge-intensive system related to process mining field,2019,1,3,0,True,False,4
A Task of Behaviour Modelling in Execution Context,2014,1,0,0,False,False,1
Performance analysis modeling applied to business processes,2010,1,1,1,True,False,3
Towards smart logistics processes: a predictive monitoring and proactive adaptation approach,2015,2,1,0,False,True,3
Monitoring of Business Processes' non Functional Requirements based on Quality of Service,2018,2,1,0,False,False,3
Green business process patterns,2011,5,0,0,False,False,5
Incorporating spatial context into remaining-time predictive process monitoring,2021,2,0,1,False,False,3
Verification of Hierarchical Artifact Systems,2016,2,0,1,False,False,3
BPMN in Engineering Software Requirements: An Introductory Brief Guide,2017,0,1,0,True,True,1
Risk-aware business process modeling: a comparison of discrete event and agent-based approaches,2020,2,1,0,False,False,3
Making business processes adaptive through semantically enhanced workflow descriptions,2010,5,0,0,False,False,5
Reduction techniques for efficient behavioral model checking in adaptive case management,2017,6,0,0,False,False,6
Smart Contract Powered Framework for the Next Generation Industry 4.0 Business Model,2024,4,1,0,False,False,5
Diversity Guided Evolutionary Mining of Hierarchical Process Models,2015,4,0,1,False,False,5
Churn Analysis for Constructive Employment Using Machine Learning Classifiers,2023,2,2,0,False,True,4
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,2024,4,2,4,False,False,10
Challenges in Scholarly Communication and Scientific Publication – Present Scenario and Opportunities through Blockchain Solutions,2022,2,1,0,False,True,3
Automated team selection and compliance checking in business processes,2015,2,1,1,True,False,4
Mapping semantically enriched Formal Tropos to business process models,2009,2,0,0,False,False,2
Improving Business Process Interoperability by Shared Ledgers,2017,1,2,0,True,False,3
Towards a structure of a pattern language for visualising in business processes,2022,0,1,0,True,True,1
Patterns for flexible BPMN workflows,2011,1,1,0,True,False,2
An Approach to Generate Process-oriented Text from Natural Language,2016,1,1,0,False,True,2
Design Workflows and Algorithm Diagrams Interpretation Method in Software Development,2021,3,1,0,False,True,4
Measuring process flexibility and agility,2010,0,0,2,False,False,2
Performance evaluation of medical imaging service,2012,0,0,9,False,False,9
The S-BPM modelling technique as an enabling tool for representation of agency and situation,2011,2,0,0,False,False,2
Monitoring Constraints and Metaconstraints with Temporal Logics on Finite Traces,2022,4,0,0,False,False,4
Towards situational business process modeling support,2011,1,0,0,False,False,1
Empowering business process simulation through automated model transformations,2014,2,3,0,False,True,5
Storage System Based on Norm and BPMN mapping Research on Business Process Modeling,2018,1,1,0,True,False,2
Identifying Support for Knowledge-Intensive Processes in BPMN and its Extensions,2023,1,1,1,False,False,3
Towards modeling real-world aware business processes,2011,3,1,0,True,False,4
Model-driven engineering in practice: integrated performance decision support for process-centric business impact analysis,2014,4,0,0,False,False,4
CoreSec: an ontology of security aplied to the business process of management,2008,6,0,0,False,False,6
Strong non-leak guarantees for workflow models,2011,2,0,0,False,False,2
A software process line for service-oriented applications,2015,2,2,0,False,True,4
Toward a Time-centric modeling of Business Processes in BPMN 2.0,2013,2,2,0,True,False,4
Accelerate service integration in your BPM/SOA applications,2010,2,1,0,False,True,3
Managing large numbers of business processes with cloud workflow systems,2012,3,1,1,False,False,5
Bridging the business-IT divide using BPM: challenges and opportunities,2009,3,1,0,False,False,4
Towards a metamodel for supporting decisions in knowledge-intensive processes,2019,2,2,0,True,True,4
Supporting adaptive e-Learning: an approach based on open-source learning management systems,2013,2,1,0,False,False,3
"Faster, Harder? Investigating the Impact of Changing Background Music Speed on Gameplay Performance and Player Experience in an Endless Runner Game",2023,4,0,0,False,False,4
Simulating business processes with EPML.SIM,2009,2,1,0,False,False,3
Public health management facing disaster response: a business process simulation perspective,2018,2,0,0,False,False,2
Process design modeling with extended event graphs,2019,1,0,0,False,False,1
Declarative workflows to efficiently manage flexible and advanced business processes,2010,4,0,0,False,False,4
Process instance migration: flexible execution of distributed business processes,2012,2,1,0,False,False,3
Enabling flexible processes by ECA orchestration architecture,2009,2,0,2,False,False,4
Business activity management for service networks in cloud environments,2011,3,1,0,False,False,4
SOA Reuse: Systematic Literature Review Updating and Research Directions,2018,1,2,0,True,True,3
The role of editor in collaborative modeling,2012,1,0,0,False,False,1
Improving business process in semiconductor manufacturing by discovering business rules,2018,3,1,0,False,False,4
Dealing with uncertainty: Robust workflow navigation in the healthcare domain,2013,3,0,0,False,False,3
Conceptual modeling of inter-dependencies between processes and data,2018,2,2,0,False,True,4
Process performance management: illuminating design issues through a systematic problem analysis,2011,2,1,0,True,False,3
"Government Process Integration Using the ""Enterprise Resource Planning"" System",2014,0,2,0,True,True,2
Object relational business process repository,2012,1,1,0,True,False,2
Model-driven development of families of Service-Oriented Architectures,2009,5,0,1,False,False,6
"Automation, control, and analysis of knowledge-intensive processes",2021,4,0,1,False,False,5
An evaluation of process warehousing approaches for business process analysis,2009,2,0,0,False,False,2
Towards a Framework of Process Owner Competencies and Tasks,2016,2,1,0,False,True,3
Inferring state for real-time monitoring of care processes,2013,2,1,0,True,False,3
Service oriented system for business cooperation,2008,1,3,0,True,True,4
An extended interpretation of process design and modeling,2009,1,1,0,False,True,2
Towards a Repository for the Reuse of Business Process Models from a Requirements Analysis Perspective,2015,2,1,0,True,False,3
Business Process Fragmentation for Enhancing Process Modeling,2014,1,2,0,True,True,3
Digital transformation of telecom providers management customer system: a process research and effects assessment,2022,0,2,0,True,True,2
Development of a Flexible Imaging Data Integration Tool for Multicenter Clinical Trials,2018,2,1,0,True,False,3
Devs modelling and simulation for healthcare process application for hospital emergency department,2017,4,1,0,True,False,5
Incorporating Multidisciplinary Emerging Areas in CS Curriculum: the Pedagogical Challenges,2016,1,0,0,False,False,1
"Automation, control, and analysis of knowledge-intensive processes",2020,4,0,1,False,False,5
Optimal acquisition of input data for decision taking in business processes,2017,1,1,0,True,False,2
EUD for enterprise process and information management,2008,3,0,0,False,False,3
BPM: The Promise and the Challenge: It’s all about closing the loop from conception to execution and back.,2004,0,1,0,True,True,1
IoT Data Prefetching in Indoor Navigation SOAs,2018,5,0,0,False,False,5
Agile systems development for the management of service oriented organizations,2010,0,2,0,True,True,2
On the exploitation of process mining for security audits: the process discovery case,2013,3,0,0,False,False,3
A resource oriented framework for context-aware enterprise applications,2011,2,0,0,False,False,2
A Pattern Language for Workflow Engine Conformance and Performance Benchmarking,2017,5,0,0,False,False,5
Towards an Integration System for Artifact-centric Processes,2016,1,0,0,False,False,1
Impact of Industry 4.0 on Economic Development and Conditions for its Successful Implementation,2021,0,1,0,True,True,1
Foundations of data-aware process analysis: a database theory perspective,2013,3,0,0,False,False,3
Local Concurrency Detection in Business Process Event Logs,2019,4,0,0,False,False,4
Open source workflow management systems for the internal audit process,2012,1,1,0,True,False,2
Analysis of Profile and Role from Business Analysts in National Context,2015,0,2,0,True,True,2
Achieving Business Process Improvement via Ubiquitous Decision-Aware Business Processes,2019,3,0,0,False,False,3
Fine-grained Emotion Role Detection Based on Retweet Information,2018,4,0,2,False,False,6
Latency-Aware Application Module Management for Fog Computing Environments,2018,3,0,0,False,False,3
An Autonomic Cognitive Pattern for Smart IoT-Based System Manageability: Application to Comorbidity Management,2018,2,1,0,True,False,3
Driving knowledge acquisition via metric life-cycle in process intelligence,2014,4,2,0,True,False,6
Business artifacts with guard-stage-milestone lifecycles: managing artifact interactions with conditions and events,2011,9,2,1,False,False,12
Dynamic temporal constraints in business processes,2017,3,0,0,False,False,3
Incentive-Based Crowdsourcing of Hotspot Services,2019,2,1,0,True,False,3
A flexible approach for abstracting and personalizing large business process models,2013,2,0,0,False,False,2
SENTINEL: a semantic business process monitoring tool,2008,4,1,1,False,True,6
Context-Driven and Real-Time Provisioning of Data-Centric IoT Services in the Cloud,2018,4,0,0,False,False,4
Towards mobile process as a service,2010,1,1,0,True,False,2
The story of a working workflow management system,2007,2,0,0,False,False,2
Measuring Performance in Knowledge-intensive Processes,2019,3,4,0,True,False,7
